path,width,height,label
64/waldo/13_2_11.jpg,64,64,1
64/waldo/9_1_12.jpg,64,64,1
64/waldo/9_0_10.jpg,64,64,1
64/waldo/12_2_1.jpg,64,64,1
64/waldo/9_0_12.jpg,64,64,1
64/waldo/9_0_11.jpg,64,64,1
64/waldo/2_2_5.jpg,64,64,1
64/waldo/18_14_6.jpg,64,64,1
64/waldo/19_0_7.jpg,64,64,1
64/waldo/12_2_2.jpg,64,64,1
64/waldo/18_2_14.jpg,64,64,1
64/waldo/4_2_12.jpg,64,64,1
64/waldo/19_0_6.jpg,64,64,1
64/waldo/9_5_5.jpg,64,64,1
64/waldo/5_7_3.jpg,64,64,1
64/waldo/13_1_1.jpg,64,64,1
64/waldo/18_15_7.jpg,64,64,1
64/waldo/3_15_1.jpg,64,64,1
64/waldo/10_15_4.jpg,64,64,1
64/waldo/18_15_6.jpg,64,64,1
64/waldo/12_3_12.jpg,64,64,1
64/waldo/14_1_12.jpg,64,64,1
64/waldo/4_2_11.jpg,64,64,1
64/waldo/7_12_5.jpg,64,64,1
64/waldo/6_15_1.jpg,64,64,1
64/waldo/13_6_2.jpg,64,64,1
64/waldo/13_6_3.jpg,64,64,1
64/waldo/2_7_3.jpg,64,64,1
64/waldo/18_2_15.jpg,64,64,1
64/waldo/17_13_5.jpg,64,64,1
64/waldo/11_6_11.jpg,64,64,1
64/waldo/16_10_4.jpg,64,64,1
64/waldo/13_5_2.jpg,64,64,1
64/waldo/13_5_3.jpg,64,64,1
64/waldo/1_4_7.jpg,64,64,1
64/waldo/1_4_6.jpg,64,64,1
64/waldo/5_2_5.jpg,64,64,1
64/waldo/18_14_7.jpg,64,64,1
64/waldo/9_9_5.jpg,64,64,1
64/notwaldo/10_11_13.jpg,64,64,0
64/notwaldo/14_1_1.jpg,64,64,0
64/notwaldo/14_14_1.jpg,64,64,0
64/notwaldo/15_6_6.jpg,64,64,0
64/notwaldo/10_13_12.jpg,64,64,0
64/notwaldo/8_13_13.jpg,64,64,0
64/notwaldo/13_5_12.jpg,64,64,0
64/notwaldo/16_2_1.jpg,64,64,0
64/notwaldo/20_15_11.jpg,64,64,0
64/notwaldo/6_13_3.jpg,64,64,0
64/notwaldo/4_6_4.jpg,64,64,0
64/notwaldo/4_14_15.jpg,64,64,0
64/notwaldo/18_15_9.jpg,64,64,0
64/notwaldo/13_10_5.jpg,64,64,0
64/notwaldo/5_11_13.jpg,64,64,0
64/notwaldo/3_13_4.jpg,64,64,0
64/notwaldo/9_2_14.jpg,64,64,0
64/notwaldo/13_5_14.jpg,64,64,0
64/notwaldo/10_0_8.jpg,64,64,0
64/notwaldo/3_10_7.jpg,64,64,0
64/notwaldo/5_2_12.jpg,64,64,0
64/notwaldo/10_11_7.jpg,64,64,0
64/notwaldo/11_3_9.jpg,64,64,0
64/notwaldo/3_11_6.jpg,64,64,0
64/notwaldo/12_12_4.jpg,64,64,0
64/notwaldo/1_13_9.jpg,64,64,0
